Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target,Probability,Signal,Position_Change
2025-02-25,3457.03,3488.5,3453.46,3461.37,4101954,-0.0687,-0.0945,-0.0968,20.5726,-0.0284,-0.0193,-8.4269,0.0197,0.1648,2061931.75,1.9894,-0.0125,-0.0629,-0.0843,0.0101,0.2257,22.4105,27.9728,-0.0292,0.0017,-0.0248,-0.021,1.3081,0.9573,0,0.5344,1,0
2025-02-27,3444.35,3469.43,3433.86,3445.16,3823856,-0.0665,-0.0952,-0.1001,19.9232,-0.0312,-0.0218,-8.5466,0.0187,0.1795,2176562.0,1.7568,-0.0047,-0.0453,-0.0855,0.0103,0.3177,20.5726,22.4105,-0.0125,-0.0292,-0.0284,-0.0248,1.9894,1.3081,0,0.5283,1,0
2025-02-28,3418.84,3433.19,3296.82,3321.85,7085018,-0.0913,-0.1232,-0.1312,15.8296,-0.0371,-0.0255,-10.9178,0.021,0.2097,2456165.75,2.8846,-0.0358,-0.0784,-0.1092,0.0411,0.1835,19.9232,20.5726,-0.0047,-0.0125,-0.0312,-0.0284,1.7568,1.9894,1,0.5595,1,0
2025-03-03,3323.52,3360.0,3315.08,3331.2,4990439,-0.081,-0.1165,-0.1276,17.2185,-0.0401,-0.0284,-11.2279,0.0211,0.2259,2683829.1,1.8594,0.0028,-0.0774,-0.1123,0.0135,0.3589,15.8296,19.9232,-0.0358,-0.0047,-0.0371,-0.0312,2.8846,1.7568,1,0.5175,-1,-2
2025-03-04,3313.03,3386.46,3303.78,3368.39,2797737,-0.0644,-0.1029,-0.1168,22.6835,-0.0407,-0.0306,-9.5389,0.0209,0.2307,2760430.3,1.0135,0.0112,-0.0391,-0.0954,0.0245,0.7814,17.2185,15.8296,0.0028,-0.0358,-0.0401,-0.0371,1.8594,2.8846,1,0.532,1,2
2025-03-05,3357.71,3433.53,3357.71,3382.7,2501894,-0.055,-0.0956,-0.1121,24.7423,-0.0405,-0.0325,-8.4205,0.0208,0.2284,2758168.4,0.9071,0.0042,-0.0227,-0.0842,0.0224,0.3296,22.6835,17.2185,0.0112,0.0028,-0.0407,-0.0401,1.0135,1.8594,1,0.5038,-1,-2
2025-03-06,3392.18,3442.2,3372.25,3434.72,2786513,-0.0368,-0.0787,-0.0975,31.8468,-0.0383,-0.0332,-4.8227,0.0203,0.2173,2812798.45,0.9907,0.0154,-0.003,-0.0482,0.0204,0.8931,24.7423,22.6835,0.0042,0.0112,-0.0405,-0.0407,0.9071,1.0135,1,0.511,-1,0
2025-03-07,3433.19,3457.03,3408.78,3443.87,2051315,-0.031,-0.0735,-0.0943,33.0441,-0.0362,-0.0338,-4.4505,0.0203,0.2054,2801137.4,0.7323,0.0027,0.0367,-0.0445,0.014,0.7273,31.8468,24.7423,0.0154,0.0042,-0.0383,-0.0405,0.9907,0.9071,0,0.4677,-1,0
2025-03-10,3439.39,3454.27,3416.6,3423.32,1004626,-0.0334,-0.0762,-0.0988,31.6973,-0.035,-0.0342,-5.1862,0.0196,0.1976,2773921.7,0.3622,-0.006,0.0277,-0.0519,0.011,0.1784,33.0441,31.8468,0.0027,0.0154,-0.0362,-0.0383,0.7323,0.9907,0,0.4953,-1,0
2025-03-11,3393.14,3422.46,3373.73,3409.64,1995450,-0.0339,-0.077,-0.1015,30.7974,-0.0339,-0.0342,-2.7287,0.0195,0.1853,2806718.65,0.711,-0.004,0.0122,-0.0273,0.0143,0.7369,31.6973,33.0441,-0.006,0.0027,-0.035,-0.0362,0.3622,0.7323,0,0.5085,-1,0
2025-03-12,3399.81,3403.87,3325.29,3343.74,3174167,-0.0478,-0.0914,-0.1178,26.8437,-0.0347,-0.0349,-3.3984,0.0195,0.1831,2874881.6,1.1041,-0.0193,-0.0115,-0.034,0.0235,0.2348,30.7974,31.6973,-0.004,-0.006,-0.0339,-0.035,0.711,0.3622,1,0.5561,1,2
2025-03-13,3340.02,3361.0,3322.66,3348.36,1693004,-0.0422,-0.087,-0.1156,27.5459,-0.0343,-0.0347,-2.8097,0.0196,0.174,2875631.7,0.5887,0.0014,-0.0251,-0.0281,0.0115,0.6703,26.8437,30.7974,-0.0193,-0.004,-0.0347,-0.0339,1.1041,0.711,0,0.5119,-1,-2
2025-03-17,3327.34,3366.86,3316.23,3335.63,2690906,-0.0417,-0.0872,-0.1179,26.783,-0.0341,-0.0347,0.4148,0.0199,0.1668,2896311.5,0.9291,-0.0038,-0.0314,0.0041,0.0152,0.3832,27.5459,26.8437,0.0014,-0.0193,-0.0343,-0.0347,0.5887,1.1041,0,0.5107,-1,0
2025-03-18,3335.63,3335.63,3335.63,3335.63,0,-0.0379,-0.0841,-0.1168,26.783,-0.0334,-0.0344,0.133,0.0175,0.1516,2812212.75,0.0,0.0,-0.0256,0.0013,0.0,0.0,26.783,27.5459,-0.0038,0.0014,-0.0341,-0.0343,0.9291,0.5887,0,0.5095,-1,0
2025-03-19,3382.65,3382.65,3302.3,3335.06,3051244,-0.0345,-0.0812,-0.116,26.7446,-0.0325,-0.0341,-0.9895,0.0181,0.1346,2874784.65,1.0614,-0.0002,-0.0219,-0.0099,0.0241,0.4077,26.783,26.783,0.0,-0.0038,-0.0334,-0.0341,0.0,0.9291,1,0.5343,1,2
2025-03-20,3349.27,3413.12,3349.27,3398.05,2845192,-0.0148,-0.0615,-0.0984,37.4376,-0.0294,-0.0326,0.4538,0.0187,0.1116,2909550.3,0.9779,0.0189,0.0162,0.0045,0.0188,0.764,26.7446,26.783,-0.0002,0.0,-0.0325,-0.0334,1.0614,0.0,1,0.5435,1,0
2025-03-21,3313.98,3448.69,3304.45,3412.31,4161925,-0.0096,-0.0554,-0.0937,39.5875,-0.0266,-0.0313,-0.6525,0.0185,0.0985,2899312.95,1.4355,0.0042,0.0191,-0.0065,0.0423,0.7478,37.4376,26.7446,0.0189,-0.0002,-0.0294,-0.0325,0.9779,1.0614,1,0.5188,-1,-2
2025-03-24,3433.19,3480.64,3401.34,3460.8,1834751,0.004,-0.0404,-0.0801,46.3402,-0.0228,-0.0293,0.4916,0.019,0.0833,2846621.9,0.6445,0.0142,0.0375,0.0049,0.0229,0.7498,39.5875,37.4376,0.0042,0.0189,-0.0266,-0.0294,1.4355,0.9779,1,0.4976,-1,0
2025-03-25,3476.11,3538.1,3469.43,3488.27,3135390,0.0108,-0.0315,-0.0721,49.7658,-0.019,-0.027,1.8973,0.0187,0.0659,2911694.85,1.0768,0.0079,0.0458,0.019,0.0197,0.2744,46.3402,39.5875,0.0142,0.0042,-0.0228,-0.0266,0.6445,1.4355,0,0.4938,-1,0
2025-03-26,3478.73,3509.96,3457.84,3467.33,1734499,0.0043,-0.0359,-0.077,47.2876,-0.0166,-0.0251,1.692,0.0183,0.0627,2872994.0,0.6037,-0.006,0.0397,0.0169,0.015,0.1821,49.7658,46.3402,0.0079,0.0142,-0.019,-0.0228,1.0768,0.6445,1,0.4646,-1,0
2025-03-27,3447.35,3493.27,3443.21,3482.02,2528474,0.0077,-0.0307,-0.0724,49.1988,-0.014,-0.0228,4.1355,0.0179,0.0641,2794320.0,0.9049,0.0042,0.0247,0.0414,0.0144,0.7753,47.2876,49.7658,-0.006,0.0079,-0.0166,-0.019,0.6037,1.0768,0,0.5207,1,2
2025-03-28,3481.83,3491.32,3425.47,3439.06,2051919,-0.0042,-0.041,-0.0831,44.1566,-0.013,-0.0211,2.7088,0.0184,0.0646,2705723.15,0.7584,-0.0123,0.0078,0.0271,0.0191,0.2064,49.1988,47.2876,0.0042,-0.006,-0.014,-0.0166,0.9049,0.6037,0,0.4978,-1,-2
2025-04-01,3407.16,3417.93,3361.67,3386.27,2618493,-0.0177,-0.0537,-0.0963,38.8831,-0.0134,-0.0198,1.5182,0.0196,0.0622,2482396.9,1.0548,-0.0154,-0.0215,0.0152,0.0166,0.4373,44.1566,49.1988,-0.0123,0.0042,-0.013,-0.014,0.7584,0.9049,0,0.5345,1,2
2025-04-02,3379.79,3398.96,3366.48,3379.74,1764313,-0.0178,-0.0534,-0.0972,38.2742,-0.0136,-0.0186,1.3224,0.0192,0.0596,2321090.6,0.7601,-0.0019,-0.0311,0.0132,0.0096,0.4083,38.8831,44.1566,-0.0154,-0.0123,-0.0134,-0.013,1.0548,0.7584,0,0.5053,-1,-2
2025-04-03,3329.24,3339.73,3238.79,3245.46,4537821,-0.0517,-0.0878,-0.1319,28.4186,-0.0174,-0.019,-2.6866,0.0213,0.0754,2408094.8,1.8844,-0.0397,-0.064,-0.0269,0.0311,0.0661,38.2742,38.8831,-0.0019,-0.0154,-0.0136,-0.0134,0.7601,1.0548,0,0.5532,1,2
2025-04-04,3206.79,3242.13,3142.8,3146.52,5317367,-0.0735,-0.1116,-0.157,23.5971,-0.0228,-0.0202,-7.4022,0.0234,0.1056,2548868.45,2.0862,-0.0305,-0.0964,-0.074,0.0316,0.0375,28.4186,38.2742,-0.0397,-0.0019,-0.0174,-0.0136,1.8844,0.7601,0,0.5535,1,0
2025-04-07,2956.36,3138.89,2914.45,3122.35,6623955,-0.0735,-0.1143,-0.1621,22.5889,-0.0273,-0.0217,-8.4975,0.0277,0.1292,2740740.55,2.4168,-0.0077,-0.0921,-0.085,0.0719,0.9263,23.5971,28.4186,-0.0305,-0.0397,-0.0228,-0.0174,2.0862,1.8844,1,0.5656,1,0
2025-04-08,3149.05,3193.82,3104.46,3140.37,5557558,-0.062,-0.1053,-0.156,25.1565,-0.0297,-0.0232,-9.2588,0.0296,0.142,2916052.7,1.9058,0.0058,-0.0726,-0.0926,0.0285,0.4019,22.5889,23.5971,-0.0077,-0.0305,-0.0273,-0.0228,2.4168,2.0862,0,0.5609,1,0
2025-04-09,3109.47,3118.48,3063.22,3096.17,2990265,-0.0686,-0.1138,-0.1665,23.13,-0.0329,-0.0254,-11.2405,0.03,0.1605,3015334.65,0.9917,-0.0141,-0.0839,-0.1124,0.0178,0.5963,25.1565,22.5889,0.0058,-0.0077,-0.0297,-0.0273,1.9058,2.4168,0,0.5038,-1,-2
2025-04-11,3137.13,3146.09,3057.45,3081.77,7108961,-0.0664,-0.1138,-0.1689,22.4942,-0.0353,-0.0275,-11.1198,0.0304,0.1758,3271010.2,2.1733,-0.0047,-0.0504,-0.1112,0.0288,0.2744,23.13,25.1565,-0.0141,0.0058,-0.0329,-0.0297,0.9917,1.9058,1,0.5634,1,2
2025-04-15,3160.83,3160.83,3088.54,3097.69,3512160,-0.0561,-0.1054,-0.1633,24.9502,-0.036,-0.0291,-11.0376,0.0287,0.1863,3287909.85,1.0682,0.0052,-0.0155,-0.1104,0.0233,0.1266,22.4942,23.13,-0.0047,-0.0141,-0.0353,-0.0329,2.1733,0.9917,1,0.5511,1,0
2025-04-16,3097.69,3126.21,3079.38,3122.11,2384391,-0.0442,-0.0949,-0.1553,28.6834,-0.0354,-0.0302,-9.2162,0.0277,0.192,3322479.2,0.7177,0.0079,-0.0001,-0.0922,0.015,0.9124,24.9502,22.4942,0.0052,-0.0047,-0.036,-0.0353,1.0682,2.1733,1,0.4806,-1,-2
2025-04-17,3095.12,3150.53,3068.89,3146.04,2932346,-0.0335,-0.0848,-0.1476,32.2403,-0.0339,-0.0307,-7.0942,0.0276,0.195,3334551.2,0.8794,0.0077,0.0018,-0.0709,0.026,0.945,28.6834,24.9502,0.0079,0.0052,-0.0354,-0.036,0.7177,1.0682,1,0.51,-1,0
2025-04-21,3137.65,3198.59,3131.93,3167.69,2432946,-0.0243,-0.0757,-0.1405,35.3804,-0.0317,-0.0308,-6.2742,0.0278,0.1961,3456198.5,0.7039,0.0069,0.0231,-0.0627,0.021,0.5365,32.2403,28.6834,0.0077,0.0079,-0.0339,-0.0354,0.8794,0.7177,0,0.4914,-1,0
2025-04-22,3168.65,3179.42,3142.32,3160.83,2710498,-0.024,-0.0748,-0.1412,34.8297,-0.0301,-0.0307,-2.6076,0.0275,0.1986,3439161.2,0.7881,-0.0022,0.0257,-0.0261,0.0117,0.4989,35.3804,32.2403,0.0069,0.0077,-0.0317,-0.0339,0.7039,0.8794,1,0.4624,-1,0
2025-04-23,3209.08,3262.39,3182.66,3254.86,3543923,0.0046,-0.0455,-0.1146,47.0072,-0.0253,-0.0289,3.4432,0.0275,0.1894,3474097.75,1.0201,0.0297,0.0507,0.0344,0.0245,0.9056,34.8297,35.3804,-0.0022,0.0069,-0.0301,-0.0317,0.7881,0.7039,0,0.5443,1,2
2025-04-24,3243.51,3254.38,3230.73,3243.99,2252175,0.0011,-0.0469,-0.1165,45.9386,-0.0223,-0.0277,3.8958,0.0264,0.1852,3378610.25,0.6666,-0.0033,0.039,0.039,0.0073,0.5607,47.0072,34.8297,0.0297,-0.0022,-0.0253,-0.0301,1.0201,0.7881,1,0.462,-1,-2
2025-04-25,3261.53,3316.65,3247.23,3288.24,2742991,0.0133,-0.0326,-0.1036,50.8382,-0.0183,-0.0255,4.7087,0.0269,0.1735,3424022.25,0.8011,0.0136,0.0452,0.0471,0.0211,0.5908,45.9386,47.0072,-0.0033,0.0297,-0.0223,-0.0253,0.6666,1.0201,0,0.5342,1,2
2025-04-28,3275.84,3297.58,3247.23,3283.94,1593296,0.0109,-0.0326,-0.1038,50.3606,-0.0153,-0.0235,6.0646,0.025,0.16,3346917.55,0.476,-0.0013,0.0367,0.0606,0.0153,0.7291,50.8382,45.9386,0.0136,-0.0033,-0.0183,-0.0223,0.8011,0.6666,1,0.4477,-1,-2
2025-04-29,3294.91,3333.06,3271.45,3311.6,1578332,0.0175,-0.0235,-0.0954,53.394,-0.012,-0.021,7.4577,0.0239,0.1465,3339109.2,0.4727,0.0084,0.0477,0.0746,0.0186,0.6517,50.3606,50.8382,-0.0013,0.0136,-0.0153,-0.0183,0.476,0.8011,0,0.499,-1,0
2025-04-30,3311.12,3347.27,3210.03,3293.67,2809332,0.0108,-0.0277,-0.0994,51.2094,-0.0098,-0.0189,6.3266,0.022,0.1301,3353152.1,0.8378,-0.0054,0.0119,0.0633,0.0417,0.6094,53.394,50.3606,0.0084,-0.0013,-0.012,-0.0153,0.4727,0.476,0,0.4914,-1,0
2025-05-02,3311.12,3329.72,3261.53,3272.02,1721761,0.0038,-0.0328,-0.1044,48.6225,-0.0085,-0.0169,4.8016,0.0217,0.1162,3336644.2,0.516,-0.0066,0.0086,0.048,0.0208,0.1538,51.2094,53.394,-0.0054,0.0084,-0.0098,-0.012,0.8378,0.4727,1,0.5325,1,2
2025-05-05,3290.14,3342.12,3286.71,3294.24,1284443,0.0096,-0.0252,-0.0974,51.3394,-0.0068,-0.0148,4.7107,0.0214,0.107,3269941.7,0.3928,0.0068,0.0018,0.0471,0.0168,0.1359,48.6225,51.2094,-0.0066,-0.0054,-0.0085,-0.0098,0.516,0.8378,1,0.507,-1,-2
2025-05-06,3299.68,3312.08,3277.75,3299.68,1324763,0.0102,-0.0227,-0.095,52.0085,-0.0053,-0.0129,4.1668,0.0202,0.0987,3247964.2,0.4079,0.0017,0.0048,0.0417,0.0104,0.6388,51.3394,48.6225,0.0068,-0.0066,-0.0068,-0.0085,0.3928,0.516,0,0.456,-1,0
2025-05-07,3262.1,3299.2,3262.1,3285.47,1477128,0.0053,-0.0259,-0.098,50.0717,-0.0044,-0.0112,3.9433,0.0193,0.1011,3094929.55,0.4773,-0.0043,-0.0079,0.0394,0.0113,0.6299,52.0085,51.3394,0.0017,0.0068,-0.0053,-0.0068,0.4079,0.3928,1,0.4882,-1,0
2025-05-08,3288.24,3315.89,3269.83,3289.09,2543591,0.0058,-0.0239,-0.0962,50.5766,-0.0036,-0.0097,1.0517,0.0193,0.1019,2956240.75,0.8604,0.0011,-0.0014,0.0105,0.014,0.4182,50.0717,52.0085,-0.0043,0.0017,-0.0044,-0.0053,0.4773,0.4079,0,0.5074,-1,0
2025-05-09,3241.51,3286.52,3240.65,3280.89,2531757,0.0029,-0.0253,-0.0975,49.3589,-0.0031,-0.0084,1.1375,0.0186,0.1003,2751630.85,0.9201,-0.0025,0.0027,0.0114,0.014,0.8773,50.5766,50.0717,0.0011,-0.0043,-0.0036,-0.0044,0.8604,0.4773,1,0.5008,-1,0
2025-05-12,3342.59,3462.28,3339.92,3452.65,2228678,0.0499,0.0247,-0.0498,67.1829,0.0015,-0.0061,4.9999,0.0201,0.11,2585186.85,0.8621,0.0524,0.0481,0.05,0.0354,0.9213,49.3589,50.5766,-0.0025,0.0011,-0.0031,-0.0036,0.9201,0.8604,0,0.5501,1,2
2025-05-13,3452.65,3455.13,3347.84,3352.13,3062887,0.0175,-0.0049,-0.0768,54.9855,0.0026,-0.0045,2.0765,0.0222,0.1101,2588817.95,1.1831,-0.0291,0.0159,0.0208,0.032,0.04,67.1829,49.3589,0.0524,-0.0025,0.0015,-0.0031,0.8621,0.9201,1,0.5115,-1,-2
2025-05-14,3357.85,3396.0,3346.03,3384.27,2119499,0.0246,0.0044,-0.0673,57.634,0.0042,-0.0027,2.1944,0.0209,0.1042,2339344.85,0.906,0.0096,0.0301,0.0219,0.0148,0.7653,54.9855,67.1829,-0.0291,0.0524,0.0026,0.0015,1.1831,0.8621,1,0.5405,1,2
2025-05-15,3398.86,3433.19,3351.27,3414.02,3548330,0.0303,0.0127,-0.0585,59.9812,0.0061,-0.0009,3.654,0.0219,0.0997,2341153.35,1.5156,0.0088,0.038,0.0365,0.024,0.766,57.634,54.9855,0.0096,-0.0291,0.0042,0.0026,0.906,1.1831,0,0.5224,1,0
2025-05-16,3427.37,3427.37,3381.79,3396.29,1666727,0.0225,0.0072,-0.0628,57.9216,0.0071,0.0007,3.798,0.0215,0.0945,2305270.15,0.723,-0.0052,0.0352,0.038,0.0134,0.3181,59.9812,57.634,0.0088,0.0096,0.0061,0.0042,1.5156,0.906,0,0.4672,-1,-2
2025-05-19,3385.51,3385.51,3341.35,3355.75,2537377,0.0093,-0.0047,-0.0733,53.4061,0.0069,0.0019,1.8672,0.0218,0.0875,2285521.7,1.1102,-0.0119,-0.0281,0.0187,0.0132,0.3261,57.9216,59.9812,-0.0052,0.0088,0.0071,0.0061,0.723,1.5156,0,0.5302,1,2
2025-05-20,3368.15,3393.14,3332.1,3336.2,2038374,0.0031,-0.0101,-0.078,51.328,0.0062,0.0028,1.1068,0.0219,0.0794,2265793.1,0.8996,-0.0058,-0.0048,0.0111,0.0183,0.0672,53.4061,57.9216,-0.0119,-0.0052,0.0069,0.0071,1.1102,0.723,1,0.5483,1,0
2025-05-21,3345.45,3373.11,3336.2,3362.43,1440153,0.0099,-0.0022,-0.0701,53.9189,0.0062,0.0035,2.3424,0.0196,0.0673,2202275.85,0.6539,0.0079,-0.0065,0.0234,0.011,0.7106,51.328,53.4061,-0.0058,-0.0119,0.0062,0.0069,0.8996,1.1102,0,0.529,1,0
2025-05-22,3333.06,3335.73,3291.38,3315.89,2034383,-0.0037,-0.0154,-0.0822,48.941,0.005,0.0038,0.8148,0.02,0.0655,2126798.85,0.9565,-0.0138,-0.0287,0.0081,0.0134,0.5526,53.9189,51.328,0.0079,-0.0058,0.0062,0.0062,0.6539,0.8996,1,0.4954,-1,-2
2025-05-23,3315.89,3371.2,3305.02,3351.75,1274331,0.0064,-0.0045,-0.0716,52.5742,0.0048,0.004,2.1598,0.0197,0.0609,2077906.65,0.6133,0.0108,-0.0131,0.0216,0.0197,0.7061,48.941,53.9189,-0.0138,0.0079,0.005,0.0062,0.9565,0.6539,1,0.5435,1,2
2025-05-26,3357.85,3380.74,3347.46,3373.4,967470,0.0117,0.0018,-0.065,54.6713,0.0052,0.0042,-2.2953,0.0195,0.0603,1989130.6,0.4864,0.0065,0.0053,-0.023,0.0099,0.7794,52.5742,48.941,0.0108,-0.0138,0.0048,0.005,0.6133,0.9565,0,0.4733,-1,-2
2025-05-27,3368.34,3375.97,3321.71,3336.59,2467680,0.0006,-0.0088,-0.0745,50.5764,0.0046,0.0043,-0.4636,0.0201,0.0592,2032849.8,1.2139,-0.0109,0.0001,-0.0046,0.0163,0.2742,54.6713,52.5742,0.0065,0.0108,0.0052,0.0048,0.4864,0.6133,0,0.4992,-1,0
2025-05-28,3356.9,3365.48,3331.15,3335.63,1222933,0.0003,-0.0087,-0.0741,50.4702,0.004,0.0042,-1.4372,0.0198,0.0588,2015079.85,0.6069,-0.0003,-0.008,-0.0144,0.0103,0.1305,50.5764,54.6713,-0.0109,0.0065,0.0046,0.0052,1.2139,0.4864,1,0.5096,-1,0
2025-05-29,3342.31,3368.82,3324.95,3336.01,3188072,0.0003,-0.0083,-0.0733,50.5145,0.0035,0.0041,-2.285,0.0197,0.0573,2034016.85,1.5674,0.0001,0.0061,-0.0228,0.0132,0.2521,50.4702,50.5764,-0.0003,-0.0109,0.004,0.0046,0.6069,1.2139,0,0.5046,-1,0
